Niveau 1,Niveau 2,Niveau 3,Niveau 4,Niveau 5
education-canine,comportement,problemes,agressivite,
education-canine,comportement,problemes,reactivite,
education-canine,comportement,problemes,aboiements,
education-canine,comportement,problemes,anxiete,
education-canine,comportement,problemes,mordillements,
education-canine,comportement,problemes,peur,
education-canine,comportement,problemes,laisse,
education-canine,comportement,problemes,solitude,
education-canine,comportement,problemes,sauts,
education-canine,comportement,problemes,fugue,
education-canine,comportement,problemes,coprophagie,
education-canine,comportement,problemes,hyperactivite,
education-canine,comportement,comprendre,langage-corporel,
education-canine,comportement,comprendre,ethologie,
education-canine,comportement,comprendre,signaux-stress,
education-canine,comportement,comprendre,aboiements,
education-canine,comportement,comprendre,gemissements,
education-canine,comportement,comprendre,intelligence,
education-canine,comportement,comprendre,dominance,
education-canine,comportement,comprendre,besoins,
education-canine,apprentissages,chiot,proprete,
education-canine,apprentissages,chiot,education,
education-canine,apprentissages,chiot,arrivee,
education-canine,apprentissages,chiot,socialisation,
education-canine,apprentissages,chien,,
education-canine,apprentissages,obeissance,marche-en-laisse,
education-canine,apprentissages,obeissance,marche-au-pied,
education-canine,apprentissages,obeissance,ordres,assis
education-canine,apprentissages,obeissance,ordres,couche
education-canine,apprentissages,obeissance,ordres,pas-bouger
education-canine,apprentissages,obeissance,ordres,rappel
education-canine,apprentissages,obeissance,ordres,tour
education-canine,apprentissages,obeissance,ordres,debout
education-canine,apprentissages,obeissance,ordres,stop
education-canine,apprentissages,obeissance,ordres,donne
education-canine,apprentissages,socialisation,transports,
education-canine,apprentissages,socialisation,cohabitation-chat,
education-canine,apprentissages,socialisation,chien-adulte,
education-canine,activites,sports-canins,cani-cross,
education-canine,activites,sports-canins,cani-vtt,
education-canine,activites,sports-canins,agility,
education-canine,activites,sports-canins,mantrailing,
education-canine,activites,pistage,,
education-canine,activites,stimulation-mentale,,
education-canine,activites,promenade,,
education-canine,methodes,education-positive,,
education-canine,methodes,renforcement-positif,,
education-canine,methodes,clicker,,
education-canine,methodes,desensibilisation,,
education-canine,methodes,shaping,,
education-canine,methodes,coercition,,
education-canine,methodes,conditionnement,conditionnement-classique,
education-canine,methodes,conditionnement,conditionnement-operant,
education-canine,methodes,conditionnement,contre-conditionnement,
education-canine,races,border-collie,,
education-canine,races,malinois,,
education-canine,races,husky,,
education-canine,races,berger-australien,,
education-canine,races,goledn-retriever,,
education-canine,races,berger-allemand,,
education-canine,races,labrador,,
education-canine,races,jack-russell,,
education-canine,races,cavalier-king-charles,,
education-canine,outils,collier-etrangleur,,
education-canine,outils,longe,,
education-canine,outils,harnais,,
education-canine,outils,harnais-ou-collier,,
education-canine,outils,laisse-ou-longe,,
education-canine,dressage,,,
education-canine,metier,cout-educateur-canin,,
